major,course,related
Cardiovascular Science,"[u'Anatomy', u'Biology', u'Chemistry', u'Mathematics', u'Physiology']","[u'Aerospace Physiology and Medicine', u'Animal Genetics', u'Bioinformatics', u'Biomathematics, Bioinformatics, and Computational Biology', u'Biometry/Biometrics', u'Biostatistics', u'Cell Physiology', u'Endocrinology', u'Environmental Toxicology', u'Exercise Physiology', u'Genome Sciences/Genomics', u'Human/Medical Genetics', u'Microbial and Eukaryotic Genetics', u'Molecular Genetics', u'Molecular Pharmacology', u'Molecular Physiology', u'Molecular Toxicology', u'Neuropharmacology', u'Oncology and Cancer Biology', u'Pathology/Experimental Pathology']"
Cell Physiology,"[u'Biochemistry', u'Biology', u'Mathematics', u'Physiology']","[u'Aerospace Physiology and Medicine', u'Animal Genetics', u'Bioinformatics', u'Biomathematics, Bioinformatics, and Computational Biology', u'Biometry/Biometrics', u'Biostatistics', u'Cardiovascular Science', u'Endocrinology', u'Environmental Toxicology', u'Exercise Physiology', u'Genome Sciences/Genomics', u'Human/Medical Genetics', u'Microbial and Eukaryotic Genetics', u'Molecular Genetics', u'Molecular Pharmacology', u'Molecular Physiology', u'Molecular Toxicology', u'Neuropharmacology', u'Oncology and Cancer Biology', u'Pathology/Experimental Pathology']"
Endocrinology,"[u'Biochemistry', u'Biology', u'Calculus', u'Chemistry', u'Genetics', u'Immunology', u'Physics', u'Physiology']","[u'Aerospace Physiology and Medicine', u'Animal Genetics', u'Bioinformatics', u'Biomathematics, Bioinformatics, and Computational Biology', u'Biometry/Biometrics', u'Biostatistics', u'Cardiovascular Science', u'Cell Physiology', u'Environmental Toxicology', u'Exercise Physiology', u'Genome Sciences/Genomics', u'Human/Medical Genetics', u'Microbial and Eukaryotic Genetics', u'Molecular Genetics', u'Molecular Pharmacology', u'Molecular Physiology', u'Molecular Toxicology', u'Neuropharmacology', u'Oncology and Cancer Biology', u'Pathology/Experimental Pathology']"
Exercise Physiology,"[u'Anatomy', u'Biology', u'Chemistry', u'Ethics', u'Nutrition', u'Physiology', u'Psychology', u'Statistics']","[u'Aerospace Physiology and Medicine', u'Animal Genetics', u'Bioinformatics', u'Biomathematics, Bioinformatics, and Computational Biology', u'Biometry/Biometrics', u'Biostatistics', u'Cardiovascular Science', u'Cell Physiology', u'Endocrinology', u'Environmental Toxicology', u'Genome Sciences/Genomics', u'Human/Medical Genetics', u'Microbial and Eukaryotic Genetics', u'Molecular Genetics', u'Molecular Pharmacology', u'Molecular Physiology', u'Molecular Toxicology', u'Neuropharmacology', u'Oncology and Cancer Biology', u'Pathology/Experimental Pathology']"
Molecular Physiology,[],"[u'Aerospace Physiology and Medicine', u'Animal Genetics', u'Bioinformatics', u'Biomathematics, Bioinformatics, and Computational Biology', u'Biometry/Biometrics', u'Biostatistics', u'Cardiovascular Science', u'Cell Physiology', u'Endocrinology', u'Environmental Toxicology', u'Exercise Physiology', u'Genome Sciences/Genomics', u'Human/Medical Genetics', u'Microbial and Eukaryotic Genetics', u'Molecular Genetics', u'Molecular Pharmacology', u'Molecular Toxicology', u'Neuropharmacology', u'Oncology and Cancer Biology', u'Pathology/Experimental Pathology']"
Oncology and Cancer Biology,[],"[u'Aerospace Physiology and Medicine', u'Animal Genetics', u'Bioinformatics', u'Biomathematics, Bioinformatics, and Computational Biology', u'Biometry/Biometrics', u'Biostatistics', u'Cardiovascular Science', u'Cell Physiology', u'Endocrinology', u'Environmental Toxicology', u'Exercise Physiology', u'Genome Sciences/Genomics', u'Human/Medical Genetics', u'Microbial and Eukaryotic Genetics', u'Molecular Genetics', u'Molecular Pharmacology', u'Molecular Physiology', u'Molecular Toxicology', u'Neuropharmacology', u'Pathology/Experimental Pathology']"
Pathology/Experimental Pathology,[],"[u'Aerospace Physiology and Medicine', u'Animal Genetics', u'Bioinformatics', u'Biomathematics, Bioinformatics, and Computational Biology', u'Biometry/Biometrics', u'Biostatistics', u'Cardiovascular Science', u'Cell Physiology', u'Endocrinology', u'Environmental Toxicology', u'Exercise Physiology', u'Genome Sciences/Genomics', u'Human/Medical Genetics', u'Microbial and Eukaryotic Genetics', u'Molecular Genetics', u'Molecular Pharmacology', u'Molecular Physiology', u'Molecular Toxicology', u'Neuropharmacology', u'Oncology and Cancer Biology']"
Physiology,[],"[u'Botany/Plant Biology', u'Plant Molecular Biology', u'Plant Pathology/Phytopathology']"
Reproductive Biology,[],"[u'Aerospace Physiology and Medicine', u'Animal Genetics', u'Bioinformatics', u'Biomathematics, Bioinformatics, and Computational Biology', u'Biometry/Biometrics', u'Biostatistics', u'Cardiovascular Science', u'Cell Physiology', u'Endocrinology', u'Environmental Toxicology', u'Exercise Physiology', u'Genome Sciences/Genomics', u'Human/Medical Genetics', u'Microbial and Eukaryotic Genetics', u'Molecular Genetics', u'Molecular Pharmacology', u'Molecular Physiology', u'Molecular Toxicology', u'Neuropharmacology', u'Oncology and Cancer Biology']"
Vision Science/Physiological Optics,[],"[u'Aerospace Physiology and Medicine', u'Animal Genetics', u'Bioinformatics', u'Biomathematics, Bioinformatics, and Computational Biology', u'Biometry/Biometrics', u'Biostatistics', u'Cardiovascular Science', u'Cell Physiology', u'Endocrinology', u'Environmental Toxicology', u'Exercise Physiology', u'Genome Sciences/Genomics', u'Human/Medical Genetics', u'Microbial and Eukaryotic Genetics', u'Molecular Genetics', u'Molecular Pharmacology', u'Molecular Physiology', u'Molecular Toxicology', u'Neuropharmacology', u'Oncology and Cancer Biology']"
Animal Behavior and Ethology,"[u'Biology', u'Ecology', u'Ethology', u'Physiology', u'Psychology']","[u'Animal Physiology', u'Entomology', u'Genetics', u'Microbiology and Immunology', u'Wildlife Biology', u'Zoology/Animal Biology']"
Animal Physiology,"[u'Biology', u'Chemistry', u'Ecology', u'Mathematics', u'Physics', u'Physiology']","[u'Animal Behavior and Ethology', u'Entomology', u'Genetics', u'Microbiology and Immunology', u'Wildlife Biology', u'Zoology/Animal Biology']"
Entomology,"[u'Biological Sciences', u'Chemistry', u'Evolution and Ecology', u'Mathematics', u'Physics', u'Statistics']","[u'Animal Behavior and Ethology', u'Animal Physiology', u'Genetics', u'Microbiology and Immunology', u'Wildlife Biology', u'Zoology/Animal Biology']"
Wildlife Biology,[],"[u'Animal Behavior and Ethology', u'Animal Physiology', u'Entomology', u'Genetics', u'Microbiology and Immunology', u'Zoology/Animal Biology']"
Zoology/Animal Biology,[],"[u'Animal Behavior and Ethology', u'Animal Physiology', u'Entomology', u'Genetics', u'Microbiology and Immunology', u'Wildlife Biology']"
Accounting,"[u'Accounting Info. Systems', u'Auditing', u'Computer Info. Systems', u'Cost Accounting', u'Economics', u'Finance', u'Government Accounting', u'Management', u'Marketing']","[u'Accounting and Business/Management', u'Accounting and Finance', u'Accounting and Related Services', u'Accounting Technology/Technician and Bookkeeping', u'Auditing', u'Organizational Leadership', u'Accounting and Business/Management', u'Accounting and Finance', u'Accounting and Related Services', u'Accounting Technology/Technician and Bookkeeping', u'Auditing', u'Organizational Leadership']"
Accounting and Business/Management,"[u'Auditing', u'Financial Accounting', u'Microeconomics', u'Statistics', u'Taxation']","[u'Accounting', u'Accounting and Finance', u'Accounting and Related Services', u'Accounting Technology/Technician and Bookkeeping', u'Auditing', u'Organizational Leadership']"
Accounting and Finance,"[u'Accounting', u'Auditing', u'Derivatives', u'Economics', u'Finance', u'International Banking', u'Investment Management', u'Taxation']","[u'Accounting', u'Accounting and Business/Management', u'Accounting and Related Services', u'Accounting Technology/Technician and Bookkeeping', u'Auditing', u'Organizational Leadership']"
Accounting Technology/Technician and Bookkeeping,"[u'Accounting', u'Auditing', u'Computer Accounting', u'Governmental Accounting', u'Small Business Accounting ', u'Taxation']","[u'Accounting', u'Accounting and Business/Management', u'Accounting and Finance', u'Accounting and Related Services', u'Auditing', u'Organizational Leadership']"
Auditing,"[u'Accounting', u'Economics', u'Ethics', u'Finance', u'Law']","[u'Accounting', u'Accounting and Business/Management', u'Accounting and Finance', u'Accounting and Related Services', u'Accounting Technology/Technician and Bookkeeping', u'Organizational Leadership']"
Business Administration and Management,"[u'Business', u'Economics', u'Finance', u'Logistics', u'Management', u'Marketing']","[u'Business Administration, Management and Operations', u'Customer Service Management', u'E-Commerce/Electronic Commerce', u'Logistics, Materials, and Supply Chain Management', u'Non-Profit/Public/Organizational Management', u'Office Management and Supervision', u'Operations Management and Supervision', u'Organizational Leadership', u'Project Management', u'Purchasing, Procurement/Acquisitions and Contracts Management', u'Research and Development Management', u'Retail Management', u'Transportation/Mobility Management']"
Customer Service Management,"[u'Applied Computer Skills', u'Management', u'Marketing', u'Public Relations']","[u'E-Commerce/Electronic Commerce', u'Non-Profit/Public/Organizational Management', u'Operations Management and Supervision']"
E-Commerce/Electronic Commerce,"[u'Accounting', u'Computer Programming', u'Database Administration', u'Electronic Commerce', u'Finance', u'Marketing', u'Marketing and the Internet', u'Systems Analysis and Design', u'Systems Analysis and Design\r\nElectronic Commerce', u'Web Development']","[u'Customer Service Management', u'Non-Profit/Public/Organizational Management', u'Operations Management and Supervision']"
"Logistics, Materials, and Supply Chain Management","[u'International Logistics', u'Logistics Analysis', u'Logistics Systems in Service Industries', u'Management of Logistics Supply Chains', u'Strategic Sourcing and Supply Management', u'Supply Chain Management', u'Transport Economics and Policy', u'Transport Systems', u'Urban Transportation', u'Warehousing and Terminal Management']",[u'Office Management and Supervision']
Non-Profit/Public/Organizational Management,[],"[u'Customer Service Management', u'E-Commerce/Electronic Commerce', u'Operations Management and Supervision']"
Office Management and Supervision,[],"[u'Logistics, Materials, and Supply Chain Management']"
Operations Management and Supervision,[],"[u'Customer Service Management', u'E-Commerce/Electronic Commerce', u'Non-Profit/Public/Organizational Management']"
Organizational Leadership,[],"[u'Accounting', u'Accounting and Business/Management', u'Accounting and Finance', u'Accounting and Related Services', u'Accounting Technology/Technician and Bookkeeping', u'Auditing']"
Project Management,"[u'Computer Networks', u'Computer Programming', u'Data Center Design', u'Database Administration', u'Information Storage Management']",[u'Web/Multimedia Management and Webmaster']
"Purchasing, Procurement/Acquisitions and Contracts Management",[],"[u'Business Administration, Management and Operations', u'Customer Service Management', u'E-Commerce/Electronic Commerce', u'Logistics, Materials, and Supply Chain Management', u'Non-Profit/Public/Organizational Management', u'Office Management and Supervision', u'Operations Management and Supervision', u'Organizational Leadership', u'Project Management', u'Research and Development Management', u'Retail Management', u'Transportation/Mobility Management']"
Research and Development Management,[],"[u'Project Management', u'Retail Management', u'Transportation/Mobility Management']"
Retail Management,[],"[u'Project Management', u'Research and Development Management', u'Transportation/Mobility Management']"
Transportation/Mobility Management,[],"[u'Project Management', u'Research and Development Management', u'Retail Management']"
Administrative Assistant and Secretarial Science,"[u'Algebra', u'Editing', u'Information Management', u'Keyboarding']","[u'Banking and Financial Support Services', u'Business Operations Support and Assistant Services', u'Business/Corporate Communications', u'Business/Managerial Economics', u'Business/Office Automation/Technology/Data Entry', u'Customer Service Support/Call Center/Teleservice Operation', u'Entrepreneurial and Small Business Operations', u'Entrepreneurship/Entrepreneurial Studies', u'Executive Assistant/Executive Secretary', u'Finance and Financial Management Services', u'Financial Planning and Services', u'Franchising and Franchise Operations', u'General Office Occupations and Clerical Services', u'International Finance', u'Investments and Securities', u'Parts, Warehousing, and Inventory Management Operations', u'Public Finance', u'Receptionist']"
Business/Office Automation/Technology/Data Entry,"[u'Information Technology', u'Management', u'Mathematics', u'Microsoft Office']","[u'Banking and Financial Support Services', u'Business Operations Support and Assistant Services', u'Business/Corporate Communications', u'Business/Managerial Economics', u'Customer Service Support/Call Center/Teleservice Operation', u'Entrepreneurial and Small Business Operations', u'Entrepreneurship/Entrepreneurial Studies', u'Executive Assistant/Executive Secretary', u'Finance and Financial Management Services', u'Financial Planning and Services', u'Franchising and Franchise Operations', u'General Office Occupations and Clerical Services', u'International Finance', u'Investments and Securities', u'Parts, Warehousing, and Inventory Management Operations', u'Public Finance', u'Receptionist', u'Small Business Administration/Management']"
Customer Service Support/Call Center/Teleservice Operation,"[u'Applied Computer Skills', u'Management', u'Marketing', u'Public Relations']","[u'Banking and Financial Support Services', u'Business Operations Support and Assistant Services', u'Business/Corporate Communications', u'Business/Managerial Economics', u'Business/Office Automation/Technology/Data Entry', u'Entrepreneurial and Small Business Operations', u'Entrepreneurship/Entrepreneurial Studies', u'Executive Assistant/Executive Secretary', u'Finance and Financial Management Services', u'Financial Planning and Services', u'Franchising and Franchise Operations', u'General Office Occupations and Clerical Services', u'International Finance', u'Investments and Securities', u'Parts, Warehousing, and Inventory Management Operations', u'Public Finance', u'Receptionist', u'Small Business Administration/Management']"
Executive Assistant/Executive Secretary,"[u'Accounting', u'Data Processing', u'English Composition', u'Keyboarding', u'Mathematics', u'Secretarial Practices', u'Word Processing']","[u'Banking and Financial Support Services', u'Business Operations Support and Assistant Services', u'Business/Corporate Communications', u'Business/Managerial Economics', u'Business/Office Automation/Technology/Data Entry', u'Customer Service Support/Call Center/Teleservice Operation', u'Entrepreneurial and Small Business Operations', u'Entrepreneurship/Entrepreneurial Studies', u'Finance and Financial Management Services', u'Financial Planning and Services', u'Franchising and Franchise Operations', u'General Office Occupations and Clerical Services', u'International Finance', u'Investments and Securities', u'Parts, Warehousing, and Inventory Management Operations', u'Public Finance', u'Receptionist', u'Small Business Administration/Management']"
General Office Occupations and Clerical Services,"[u'Communications ', u'Filing', u'Keyboarding', u'Records Management', u'Word Processing']","[u'Banking and Financial Support Services', u'Business Operations Support and Assistant Services', u'Business/Corporate Communications', u'Business/Managerial Economics', u'Business/Office Automation/Technology/Data Entry', u'Customer Service Support/Call Center/Teleservice Operation', u'Entrepreneurial and Small Business Operations', u'Entrepreneurship/Entrepreneurial Studies', u'Executive Assistant/Executive Secretary', u'Finance and Financial Management Services', u'Financial Planning and Services', u'Franchising and Franchise Operations', u'International Finance', u'Investments and Securities', u'Parts, Warehousing, and Inventory Management Operations', u'Public Finance', u'Receptionist', u'Small Business Administration/Management']"
"Parts, Warehousing, and Inventory Management Operations",[],"[u'Banking and Financial Support Services', u'Business Operations Support and Assistant Services', u'Business/Corporate Communications', u'Business/Managerial Economics', u'Business/Office Automation/Technology/Data Entry', u'Customer Service Support/Call Center/Teleservice Operation', u'Entrepreneurial and Small Business Operations', u'Entrepreneurship/Entrepreneurial Studies', u'Executive Assistant/Executive Secretary', u'Finance and Financial Management Services', u'Financial Planning and Services', u'Franchising and Franchise Operations', u'General Office Occupations and Clerical Services', u'International Finance', u'Investments and Securities', u'Public Finance', u'Receptionist', u'Small Business Administration/Management']"
Receptionist,[],"[u'Health/Medical Claims Examiner', u'Medical Insurance Coding Specialist/Coder', u'Medical Insurance Specialist/Medical Biller']"
"Traffic, Customs, and Transportation Clerk/Technician",[],"[u'Banking and Financial Support Services', u'Business Operations Support and Assistant Services', u'Business/Corporate Communications', u'Business/Managerial Economics', u'Business/Office Automation/Technology/Data Entry', u'Customer Service Support/Call Center/Teleservice Operation', u'Entrepreneurial and Small Business Operations', u'Entrepreneurship/Entrepreneurial Studies', u'Executive Assistant/Executive Secretary', u'Finance and Financial Management Services', u'Financial Planning and Services', u'Franchising and Franchise Operations', u'General Office Occupations and Clerical Services', u'International Finance', u'Investments and Securities', u'Parts, Warehousing, and Inventory Management Operations', u'Public Finance', u'Receptionist']"
Business/Commerce,"[u'Economics', u'Finance', u'Management', u'Marketing', u'Mathematics', u'Statistics', u'Supply Chain Management']","[u'Business Administration, Management and Operations', u'Business, Management, Marketing, and Related Support Services', u'Licensed Practical/Vocational Nurse Training', u'Nursing Assistant/Aide and Patient Care Assistant/Aide']"
Business/Corporate Communications,"[u'Business English', u'Grammar', u'Linguistics']","[u'Banking and Financial Support Services', u'Business Operations Support and Assistant Services', u'Business/Managerial Economics', u'Business/Office Automation/Technology/Data Entry', u'Customer Service Support/Call Center/Teleservice Operation', u'Entrepreneurial and Small Business Operations', u'Entrepreneurship/Entrepreneurial Studies', u'Executive Assistant/Executive Secretary', u'Finance and Financial Management Services', u'Financial Planning and Services', u'Franchising and Franchise Operations', u'General Office Occupations and Clerical Services', u'International Finance', u'Investments and Securities', u'Parts, Warehousing, and Inventory Management Operations', u'Public Finance', u'Receptionist', u'Small Business Administration/Management', u'Traffic, Customs, and Transportation Clerk/Technician']"
Business/Managerial Economics,"[u'Economics', u'Finance', u'Financial Analysis', u'Mathematics', u'Statistics']","[u'Banking and Financial Support Services', u'Business Operations Support and Assistant Services', u'Business/Corporate Communications', u'Business/Office Automation/Technology/Data Entry', u'Customer Service Support/Call Center/Teleservice Operation', u'Entrepreneurial and Small Business Operations', u'Entrepreneurship/Entrepreneurial Studies', u'Executive Assistant/Executive Secretary', u'Finance and Financial Management Services', u'Financial Planning and Services', u'Franchising and Franchise Operations', u'General Office Occupations and Clerical Services', u'International Finance', u'Investments and Securities', u'Parts, Warehousing, and Inventory Management Operations', u'Public Finance', u'Receptionist', u'Small Business Administration/Management', u'Traffic, Customs, and Transportation Clerk/Technician']"
Construction Management,"[u'Accounting', u'Construction Principles', u'Facilities Management', u'Materials Management', u'Personnel Supervision', u'Project Planning', u'Safety']","[u'Adult High School/Secondary Diploma Program', u'American  History (United States)', u'Certificate of IEP Completion Program', u'College/University Preparatory and Advanced High School/Secondary Diploma Program', u'European History', u'High School Certificate of Competence Program', u'High School Equivalence Certificate Program', u'High School/Secondary Certificate Programs', u'High School/Secondary Diploma Programs', u'High School/secondary Diplomas and Certificates', u'History', u'Honors/Regents High School/Secondary Diploma Program', u'Regular/General High School/Secondary Diploma Program', u'Telecommunications Management', u'Vocational High School and Secondary Business/Vocational-Industrial/Occupational Diploma Program']"
Entrepreneurship/Entrepreneurial Studies,"[u'Business Plan Development', u'Entrepreneurial Strategy', u'Entrepreneurship', u'International Start Ups', u'Marketing', u'Mergers and Acquisitions', u'Private Equity', u'Technology Entrepreneurship', u'Venture Capital']","[u'Banking and Financial Support Services', u'Business Operations Support and Assistant Services', u'Business/Corporate Communications', u'Business/Managerial Economics', u'Business/Office Automation/Technology/Data Entry', u'Customer Service Support/Call Center/Teleservice Operation', u'Entrepreneurial and Small Business Operations', u'Executive Assistant/Executive Secretary', u'Finance and Financial Management Services', u'Financial Planning and Services', u'Franchising and Franchise Operations', u'General Office Occupations and Clerical Services', u'International Finance', u'Investments and Securities', u'Parts, Warehousing, and Inventory Management Operations', u'Public Finance', u'Receptionist', u'Small Business Administration/Management']"
Franchising and Franchise Operations,"[u'Finance', u'Management', u'Marketing', u'Public Relations']","[u'Banking and Financial Support Services', u'Business Operations Support and Assistant Services', u'Business/Corporate Communications', u'Business/Managerial Economics', u'Business/Office Automation/Technology/Data Entry', u'Customer Service Support/Call Center/Teleservice Operation', u'Entrepreneurial and Small Business Operations', u'Entrepreneurship/Entrepreneurial Studies', u'Executive Assistant/Executive Secretary', u'Finance and Financial Management Services', u'Financial Planning and Services', u'General Office Occupations and Clerical Services', u'International Finance', u'Investments and Securities', u'Parts, Warehousing, and Inventory Management Operations', u'Public Finance', u'Receptionist', u'Small Business Administration/Management']"
Small Business Administration/Management,[],"[u'Banking and Financial Support Services', u'Business Operations Support and Assistant Services', u'Business/Corporate Communications', u'Business/Managerial Economics', u'Business/Office Automation/Technology/Data Entry', u'Customer Service Support/Call Center/Teleservice Operation', u'Entrepreneurial and Small Business Operations', u'Entrepreneurship/Entrepreneurial Studies', u'Executive Assistant/Executive Secretary', u'Finance and Financial Management Services', u'Financial Planning and Services', u'Franchising and Franchise Operations', u'General Office Occupations and Clerical Services', u'International Finance', u'Investments and Securities', u'Parts, Warehousing, and Inventory Management Operations', u'Public Finance', u'Receptionist']"
Banking and Financial Support Services,"[u'Business', u'Finance', u'Management', u'Public Relations']","[u'Business Operations Support and Assistant Services', u'Business/Corporate Communications', u'Business/Managerial Economics', u'Business/Office Automation/Technology/Data Entry', u'Customer Service Support/Call Center/Teleservice Operation', u'Entrepreneurial and Small Business Operations', u'Entrepreneurship/Entrepreneurial Studies', u'Executive Assistant/Executive Secretary', u'Finance and Financial Management Services', u'Financial Planning and Services', u'Franchising and Franchise Operations', u'General Office Occupations and Clerical Services', u'International Finance', u'Investments and Securities', u'Parts, Warehousing, and Inventory Management Operations', u'Public Finance', u'Receptionist', u'Small Business Administration/Management']"
Credit Management,"[u'Accounting', u'Communications', u'Computer Science', u'Ethics', u'Finance', u'Information Technology', u'Law', u'Management']","[u'Hospitality Administration/Management', u'Hotel/Motel Administration/Management', u'Restaurant/Food Services Management', u'Tourism and Travel Services Management']"
Finance,"[u'Bonds', u'Core Business Courses', u'Corporate Finance', u'Econometrics', u'Economics', u'Financial Reporting', u'Governmental Finance', u'Individual Investment', u'Monetary Institutions and Policy', u'Portfolio Management', u'Statistics']","[u'Banking and Financial Support Services', u'Business Operations Support and Assistant Services', u'Business/Corporate Communications', u'Business/Managerial Economics', u'Business/Office Automation/Technology/Data Entry', u'Customer Service Support/Call Center/Teleservice Operation', u'Entrepreneurial and Small Business Operations', u'Entrepreneurship/Entrepreneurial Studies', u'Executive Assistant/Executive Secretary', u'Finance and Financial Management Services', u'Financial Planning and Services', u'Franchising and Franchise Operations', u'General Office Occupations and Clerical Services', u'International Finance', u'Investments and Securities', u'Parts, Warehousing, and Inventory Management Operations', u'Public Finance', u'Receptionist', u'Banking and Financial Support Services', u'Business Operations Support and Assistant Services', u'Business/Corporate Communications', u'Business/Corporate Communications', u'Business/Managerial Economics', u'Business/Managerial Economics', u'Business/Office Automation/Technology/Data Entry', u'Customer Service Support/Call Center/Teleservice Operation', u'Entrepreneurial and Small Business Operations', u'Entrepreneurship/Entrepreneurial Studies', u'Executive Assistant/Executive Secretary', u'Finance and Financial Management Services', u'Financial Planning and Services', u'Franchising and Franchise Operations', u'General Office Occupations and Clerical Services', u'International Finance', u'Investments and Securities', u'Parts, Warehousing, and Inventory Management Operations', u'Public Finance', u'Receptionist']"
Financial Planning and Services,"[u'Accounting', u'Auditing', u'Derivatives', u'Economics', u'Finance', u'International Banking', u'Investment Management', u'Taxation']","[u'Banking and Financial Support Services', u'Business Operations Support and Assistant Services', u'Business/Corporate Communications', u'Business/Managerial Economics', u'Business/Office Automation/Technology/Data Entry', u'Customer Service Support/Call Center/Teleservice Operation', u'Entrepreneurial and Small Business Operations', u'Entrepreneurship/Entrepreneurial Studies', u'Executive Assistant/Executive Secretary', u'Finance and Financial Management Services', u'Franchising and Franchise Operations', u'General Office Occupations and Clerical Services', u'International Finance', u'Investments and Securities', u'Parts, Warehousing, and Inventory Management Operations', u'Public Finance', u'Receptionist', u'Small Business Administration/Management']"
International Finance,"[u'Economics', u'Finance', u'Management', u'Mathematics']","[u'Banking and Financial Support Services', u'Business Operations Support and Assistant Services', u'Business/Corporate Communications', u'Business/Managerial Economics', u'Business/Office Automation/Technology/Data Entry', u'Customer Service Support/Call Center/Teleservice Operation', u'Entrepreneurial and Small Business Operations', u'Entrepreneurship/Entrepreneurial Studies', u'Executive Assistant/Executive Secretary', u'Finance and Financial Management Services', u'Financial Planning and Services', u'Franchising and Franchise Operations', u'General Office Occupations and Clerical Services', u'Investments and Securities', u'Parts, Warehousing, and Inventory Management Operations', u'Public Finance', u'Receptionist', u'Small Business Administration/Management']"
Investments and Securities,"[u'Economics', u'Finance', u'Financial Modeling', u'Management', u'Mathematics', u'Risk Management']","[u'Banking and Financial Support Services', u'Business Operations Support and Assistant Services', u'Business/Corporate Communications', u'Business/Managerial Economics', u'Business/Office Automation/Technology/Data Entry', u'Customer Service Support/Call Center/Teleservice Operation', u'Entrepreneurial and Small Business Operations', u'Entrepreneurship/Entrepreneurial Studies', u'Executive Assistant/Executive Secretary', u'Finance and Financial Management Services', u'Financial Planning and Services', u'Franchising and Franchise Operations', u'General Office Occupations and Clerical Services', u'International Finance', u'Parts, Warehousing, and Inventory Management Operations', u'Public Finance', u'Receptionist', u'Small Business Administration/Management']"
Public Finance,[],"[u'Banking and Financial Support Services', u'Business Operations Support and Assistant Services', u'Business/Corporate Communications', u'Business/Managerial Economics', u'Business/Office Automation/Technology/Data Entry', u'Customer Service Support/Call Center/Teleservice Operation', u'Entrepreneurial and Small Business Operations', u'Entrepreneurship/Entrepreneurial Studies', u'Executive Assistant/Executive Secretary', u'Finance and Financial Management Services', u'Financial Planning and Services', u'Franchising and Franchise Operations', u'General Office Occupations and Clerical Services', u'International Finance', u'Investments and Securities', u'Parts, Warehousing, and Inventory Management Operations', u'Receptionist', u'Small Business Administration/Management']"
Merchandising and Buying Operations,[],"[u'Apparel and Accessories Marketing Operations', u'Auctioneering', u'Business and Personal/Financial Services Marketing Operations', u'Fashion Merchandising', u'Fashion Modeling', u'General Sales, Merchandising and Related Marketing Operations', u'Hospitality and Recreation Marketing Operations', u'Insurance', u'Real Estate', u'Retailing and Retail Operations', u'Selling Skills and Sales Operations', u'Special Products Marketing Operations', u'Specialized Sales, Merchandising and  Marketing Operations', u'Taxation', u'Tourism and Travel Services Marketing Operations', u'Tourism Promotion Operations', u'Vehicle and Vehicle Parts and Accessories Marketing Operations']"
Retailing and Retail Operations,[],"[u'Apparel and Accessories Marketing Operations', u'Auctioneering', u'Business and Personal/Financial Services Marketing Operations', u'Fashion Merchandising', u'Fashion Modeling', u'General Sales, Merchandising and Related Marketing Operations', u'Hospitality and Recreation Marketing Operations', u'Insurance', u'Merchandising and Buying Operations', u'Real Estate', u'Selling Skills and Sales Operations', u'Special Products Marketing Operations', u'Specialized Sales, Merchandising and  Marketing Operations', u'Taxation', u'Tourism and Travel Services Marketing Operations', u'Tourism Promotion Operations', u'Vehicle and Vehicle Parts and Accessories Marketing Operations']"
"Sales, Distribution, and Marketing Operations",[],"[u'Apparel and Accessories Marketing Operations', u'Auctioneering', u'Business and Personal/Financial Services Marketing Operations', u'Fashion Merchandising', u'Fashion Modeling', u'General Sales, Merchandising and Related Marketing Operations', u'Hospitality and Recreation Marketing Operations', u'Insurance', u'Merchandising and Buying Operations', u'Real Estate', u'Retailing and Retail Operations', u'Selling Skills and Sales Operations', u'Special Products Marketing Operations', u'Specialized Sales, Merchandising and  Marketing Operations', u'Taxation', u'Tourism and Travel Services Marketing Operations', u'Tourism Promotion Operations', u'Vehicle and Vehicle Parts and Accessories Marketing Operations']"
Selling Skills and Sales Operations,[],"[u'Apparel and Accessories Marketing Operations', u'Auctioneering', u'Business and Personal/Financial Services Marketing Operations', u'Fashion Merchandising', u'Fashion Modeling', u'General Sales, Merchandising and Related Marketing Operations', u'Hospitality and Recreation Marketing Operations', u'Insurance', u'Merchandising and Buying Operations', u'Real Estate', u'Retailing and Retail Operations', u'Special Products Marketing Operations', u'Specialized Sales, Merchandising and  Marketing Operations', u'Taxation', u'Tourism and Travel Services Marketing Operations', u'Tourism Promotion Operations', u'Vehicle and Vehicle Parts and Accessories Marketing Operations']"
Casino Management,"[u'Business', u'Ethics', u'Gaming Law', u'Management']","[u'Hotel, Motel, and Restaurant Management', u'Human Resources Development', u'Human Resources Management and Services', u'International Business', u'Labor and Industrial Relations', u'Labor Studies', u'Organizational Behavior Studies']"
Hospitality Administration/Management,"[u'Accounting', u'Business Law', u'Economics', u'Event Planning', u'Management', u'Marketing', u'Statistics']","[u'Credit Management', u'Hospitality Administration/Management', u'Hotel/Motel Administration/Management', u'Restaurant/Food Services Management', u'Tourism and Travel Services Management']"
"Hotel, Motel, and Restaurant Management","[u'Accounting', u'Business Law', u'Economics', u'Event Planning', u'Management', u'Marketing', u'Statistics']","[u'Casino Management', u'Human Resources Development', u'Human Resources Management and Services', u'International Business', u'Labor and Industrial Relations', u'Labor Studies', u'Organizational Behavior Studies']"
Hotel/Motel Administration/Management,"[u'Accounting', u'Business Law', u'Economics', u'Event Planning', u'Management', u'Marketing', u'Statistics']","[u'Credit Management', u'Hospitality Administration/Management', u'Restaurant/Food Services Management', u'Tourism and Travel Services Management']"
